,file_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,class_names
124,dataset\cars_train\00125.jpg,135,761,1894,1353,28,BMW 3 Series Sedan 2012
125,dataset\cars_train\00126.jpg,44,123,778,487,65,Chevrolet Cobalt SS 2010
126,dataset\cars_train\00127.jpg,69,103,537,322,78,Chrysler 300 SRT-8 2010
127,dataset\cars_train\00128.jpg,86,78,355,284,12,Audi A5 Coupe 2012
128,dataset\cars_train\00129.jpg,50,80,592,273,135,Hyundai Accent Sedan 2012
129,dataset\cars_train\00130.jpg,95,161,543,368,142,Isuzu Ascender SUV 2008
130,dataset\cars_train\00131.jpg,275,195,863,474,170,Nissan 240SX Coupe 1998
131,dataset\cars_train\00132.jpg,99,78,557,389,88,Dodge Journey SUV 2012
132,dataset\cars_train\00133.jpg,11,126,426,360,134,Hyundai Elantra Sedan 2007
133,dataset\cars_train\00134.jpg,1,2,267,185,160,Mercedes-Benz 300-Class Convertible 1993
134,dataset\cars_train\00135.jpg,19,735,2669,2192,57,Chevrolet Traverse SUV 2012
135,dataset\cars_train\00136.jpg,21,35,279,195,121,GMC Canyon Extended Cab 2012
136,dataset\cars_train\00137.jpg,45,99,593,403,177,Scion xD Hatchback 2012
137,dataset\cars_train\00138.jpg,130,282,1425,900,55,Chevrolet Corvette ZR1 2012
138,dataset\cars_train\00139.jpg,72,215,628,481,183,Suzuki SX4 Sedan 2012
139,dataset\cars_train\00140.jpg,62,95,633,434,190,Volkswagen Golf Hatchback 1991
140,dataset\cars_train\00141.jpg,13,106,476,260,39,Bentley Arnage Sedan 2009
141,dataset\cars_train\00142.jpg,78,300,952,633,59,Chevrolet HHR SS 2010
142,dataset\cars_train\00143.jpg,72,51,566,412,154,Land Rover LR2 SUV 2012
143,dataset\cars_train\00144.jpg,66,59,283,202,70,Chevrolet Express Van 2007
144,dataset\cars_train\00145.jpg,135,36,1181,885,139,Hyundai Azera Sedan 2012
145,dataset\cars_train\00146.jpg,2,5,298,162,41,Bentley Continental GT Coupe 2012
146,dataset\cars_train\00147.jpg,8,12,770,309,75,Chrysler Aspen SUV 2009
147,dataset\cars_train\00148.jpg,24,78,608,379,186,Toyota Camry Sedan 2012
148,dataset\cars_train\00149.jpg,34,1,242,179,85,Dodge Ram Pickup 3500 Crew Cab 2010
149,dataset\cars_train\00150.jpg,11,208,596,386,7,Aston Martin V8 Vantage Convertible 2012
150,dataset\cars_train\00151.jpg,8,37,294,150,4,Acura TSX Sedan 2012
151,dataset\cars_train\00152.jpg,23,66,499,311,46,Buick Regal GS 2012
152,dataset\cars_train\00153.jpg,6,138,627,361,29,BMW 3 Series Wagon 2012
153,dataset\cars_train\00154.jpg,17,105,385,243,17,Audi 100 Wagon 1994
154,dataset\cars_train\00155.jpg,76,4,1585,1120,148,Jeep Compass SUV 2012
155,dataset\cars_train\00156.jpg,22,21,211,139,173,Ram C/V Cargo Van Minivan 2012
156,dataset\cars_train\00157.jpg,32,130,973,661,137,Hyundai Sonata Sedan 2012
157,dataset\cars_train\00158.jpg,75,236,1196,846,178,Spyker C8 Convertible 2009
158,dataset\cars_train\00159.jpg,37,139,988,694,23,Audi S4 Sedan 2007
159,dataset\cars_train\00160.jpg,114,46,546,287,41,Bentley Continental GT Coupe 2012
160,dataset\cars_train\00161.jpg,12,83,629,354,72,Chevrolet Malibu Sedan 2007
161,dataset\cars_train\00162.jpg,38,66,548,385,175,Rolls-Royce Ghost Sedan 2012
162,dataset\cars_train\00163.jpg,46,84,661,428,0,AM General Hummer SUV 2000
163,dataset\cars_train\00164.jpg,13,29,239,174,36,BMW X3 SUV 2012
164,dataset\cars_train\00165.jpg,27,65,490,220,35,BMW M6 Convertible 2010
165,dataset\cars_train\00166.jpg,4,69,402,245,107,Ford Freestar Minivan 2007
166,dataset\cars_train\00167.jpg,19,27,429,258,40,Bentley Mulsanne Sedan 2011
167,dataset\cars_train\00168.jpg,110,96,565,389,39,Bentley Arnage Sedan 2009
168,dataset\cars_train\00169.jpg,2,22,140,81,118,GMC Savana Van 2012
169,dataset\cars_train\00170.jpg,48,71,615,453,118,GMC Savana Van 2012
170,dataset\cars_train\00171.jpg,41,42,262,170,18,Audi TT Hatchback 2011
171,dataset\cars_train\00172.jpg,6,108,493,267,162,Mercedes-Benz SL-Class Coupe 2009
172,dataset\cars_train\00173.jpg,26,61,508,342,119,GMC Yukon Hybrid SUV 2012
173,dataset\cars_train\00174.jpg,13,29,249,159,53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
174,dataset\cars_train\00175.jpg,69,120,739,502,115,Ford E-Series Wagon Van 2012
175,dataset\cars_train\00176.jpg,45,85,1005,558,65,Chevrolet Cobalt SS 2010
176,dataset\cars_train\00177.jpg,98,22,650,302,49,Buick Enclave SUV 2012
177,dataset\cars_train\00178.jpg,5,28,285,148,121,GMC Canyon Extended Cab 2012
178,dataset\cars_train\00179.jpg,42,113,601,439,154,Land Rover LR2 SUV 2012
179,dataset\cars_train\00180.jpg,3,40,297,157,141,Infiniti QX56 SUV 2011
180,dataset\cars_train\00181.jpg,84,256,913,752,67,Chevrolet TrailBlazer SS 2009
181,dataset\cars_train\00182.jpg,43,226,1001,630,169,Nissan Juke Hatchback 2012
182,dataset\cars_train\00183.jpg,2,9,196,125,160,Mercedes-Benz 300-Class Convertible 1993
183,dataset\cars_train\00184.jpg,34,51,604,344,160,Mercedes-Benz 300-Class Convertible 1993
184,dataset\cars_train\00185.jpg,24,35,620,438,132,Hyundai Veracruz SUV 2012
185,dataset\cars_train\00186.jpg,6,72,255,178,124,HUMMER H2 SUT Crew Cab 2009
186,dataset\cars_train\00187.jpg,4,408,1600,934,159,McLaren MP4-12C Coupe 2012
187,dataset\cars_train\00188.jpg,25,162,1241,764,92,Dodge Challenger SRT8 2011
188,dataset\cars_train\00189.jpg,18,15,583,421,182,Suzuki SX4 Hatchback 2012
189,dataset\cars_train\00190.jpg,198,416,1271,935,44,Bugatti Veyron 16.4 Convertible 2009
190,dataset\cars_train\00191.jpg,129,75,654,422,142,Isuzu Ascender SUV 2008
191,dataset\cars_train\00192.jpg,37,24,259,212,188,Toyota 4Runner SUV 2012
192,dataset\cars_train\00193.jpg,82,107,990,723,47,Buick Rainier SUV 2007
193,dataset\cars_train\00194.jpg,187,327,1211,769,175,Rolls-Royce Ghost Sedan 2012
194,dataset\cars_train\00195.jpg,150,339,1313,771,76,Chrysler Sebring Convertible 2010
195,dataset\cars_train\00196.jpg,26,46,266,213,189,Volkswagen Golf Hatchback 2012
196,dataset\cars_train\00197.jpg,47,102,492,371,109,Ford Edge SUV 2012
197,dataset\cars_train\00198.jpg,91,121,574,357,5,Acura Integra Type R 2001
198,dataset\cars_train\00199.jpg,151,298,1285,835,190,Volkswagen Golf Hatchback 1991
199,dataset\cars_train\00200.jpg,30,55,301,187,15,Audi V8 Sedan 1994
200,dataset\cars_train\00201.jpg,21,1,386,200,11,Audi RS 4 Convertible 2008
201,dataset\cars_train\00202.jpg,233,217,1228,807,89,Dodge Dakota Crew Cab 2010
202,dataset\cars_train\00203.jpg,30,167,945,545,187,Toyota Corolla Sedan 2012
203,dataset\cars_train\00204.jpg,11,61,284,151,127,Honda Accord Coupe 2012
204,dataset\cars_train\00205.jpg,29,70,612,356,22,Audi S4 Sedan 2012
205,dataset\cars_train\00206.jpg,117,222,558,434,10,Aston Martin Virage Coupe 2012
206,dataset\cars_train\00207.jpg,31,119,438,258,92,Dodge Challenger SRT8 2011
207,dataset\cars_train\00208.jpg,26,151,360,256,7,Aston Martin V8 Vantage Convertible 2012
208,dataset\cars_train\00209.jpg,58,136,973,636,62,Chevrolet Sonic Sedan 2012
209,dataset\cars_train\00210.jpg,8,80,639,366,172,Porsche Panamera Sedan 2012
210,dataset\cars_train\00211.jpg,11,47,598,365,175,Rolls-Royce Ghost Sedan 2012
211,dataset\cars_train\00212.jpg,8,20,254,155,71,Chevrolet Monte Carlo Coupe 2007
212,dataset\cars_train\00213.jpg,37,62,261,191,194,Volvo XC90 SUV 2007
213,dataset\cars_train\00214.jpg,70,78,915,640,113,Ford F-150 Regular Cab 2007
214,dataset\cars_train\00215.jpg,38,50,221,138,71,Chevrolet Monte Carlo Coupe 2007
215,dataset\cars_train\00216.jpg,21,45,133,88,118,GMC Savana Van 2012
216,dataset\cars_train\00217.jpg,45,39,594,444,17,Audi 100 Wagon 1994
217,dataset\cars_train\00218.jpg,39,94,337,245,76,Chrysler Sebring Convertible 2010
218,dataset\cars_train\00219.jpg,89,1,597,316,17,Audi 100 Wagon 1994
219,dataset\cars_train\00220.jpg,16,103,462,347,106,Ford Mustang Convertible 2007
220,dataset\cars_train\00221.jpg,29,21,477,299,9,Aston Martin Virage Convertible 2012
221,dataset\cars_train\00222.jpg,89,58,545,338,195,smart fortwo Convertible 2012
222,dataset\cars_train\00223.jpg,42,115,299,288,98,FIAT 500 Abarth 2012
223,dataset\cars_train\00224.jpg,19,10,177,134,87,Dodge Sprinter Cargo Van 2009
224,dataset\cars_train\00225.jpg,20,50,463,313,120,GMC Acadia SUV 2012
225,dataset\cars_train\00226.jpg,46,15,202,156,110,Ford Ranger SuperCab 2011
226,dataset\cars_train\00227.jpg,36,63,613,397,60,Chevrolet Impala Sedan 2007
227,dataset\cars_train\00228.jpg,237,156,896,365,140,Infiniti G Coupe IPL 2012
228,dataset\cars_train\00229.jpg,5,46,255,138,135,Hyundai Accent Sedan 2012
229,dataset\cars_train\00230.jpg,223,542,3692,2478,182,Suzuki SX4 Hatchback 2012
230,dataset\cars_train\00231.jpg,73,109,606,374,105,Ford F-450 Super Duty Crew Cab 2012
231,dataset\cars_train\00232.jpg,15,110,544,381,83,Dodge Caliber Wagon 2007
232,dataset\cars_train\00233.jpg,276,124,1495,951,193,Volvo 240 Sedan 1993
233,dataset\cars_train\00234.jpg,99,364,1211,954,131,Hyundai Tucson SUV 2012
234,dataset\cars_train\00235.jpg,59,63,549,404,110,Ford Ranger SuperCab 2011
235,dataset\cars_train\00236.jpg,19,138,571,424,6,Acura ZDX Hatchback 2012
236,dataset\cars_train\00237.jpg,11,10,396,265,64,Chevrolet Avalanche Crew Cab 2012
237,dataset\cars_train\00238.jpg,163,91,527,346,25,BMW ActiveHybrid 5 Sedan 2012
238,dataset\cars_train\00239.jpg,4,19,255,172,15,Audi V8 Sedan 1994
239,dataset\cars_train\00240.jpg,45,60,251,171,137,Hyundai Sonata Sedan 2012
240,dataset\cars_train\00241.jpg,32,59,1011,709,169,Nissan Juke Hatchback 2012
241,dataset\cars_train\00242.jpg,10,53,273,167,101,Ferrari California Convertible 2012
242,dataset\cars_train\00243.jpg,270,228,727,416,167,Nissan Leaf Hatchback 2012
243,dataset\cars_train\00244.jpg,21,93,479,331,6,Acura ZDX Hatchback 2012
244,dataset\cars_train\00245.jpg,22,59,536,238,60,Chevrolet Impala Sedan 2007
245,dataset\cars_train\00246.jpg,1,317,1280,945,166,Mitsubishi Lancer Sedan 2012
246,dataset\cars_train\00247.jpg,47,125,850,468,136,Hyundai Genesis Sedan 2012
247,dataset\cars_train\00248.jpg,52,167,508,387,176,Rolls-Royce Phantom Sedan 2012
248,dataset\cars_train\00249.jpg,6,155,631,450,152,Lamborghini Diablo Coupe 2001
249,dataset\cars_train\00250.jpg,11,35,246,186,189,Volkswagen Golf Hatchback 2012
250,dataset\cars_train\00251.jpg,576,466,2994,1953,166,Mitsubishi Lancer Sedan 2012
251,dataset\cars_train\00252.jpg,37,50,253,158,104,Fisker Karma Sedan 2012
252,dataset\cars_train\00253.jpg,51,105,579,335,49,Buick Enclave SUV 2012
253,dataset\cars_train\00254.jpg,21,11,296,141,130,Hyundai Santa Fe SUV 2012
254,dataset\cars_train\00255.jpg,29,78,734,396,5,Acura Integra Type R 2001
255,dataset\cars_train\00256.jpg,85,215,776,511,20,Audi S5 Convertible 2012
256,dataset\cars_train\00257.jpg,23,146,617,329,30,BMW 6 Series Convertible 2007
257,dataset\cars_train\00258.jpg,34,86,227,166,50,Cadillac CTS-V Sedan 2012
258,dataset\cars_train\00259.jpg,75,254,2514,1929,186,Toyota Camry Sedan 2012
259,dataset\cars_train\00260.jpg,28,164,698,417,133,Hyundai Sonata Hybrid Sedan 2012
260,dataset\cars_train\00261.jpg,32,79,378,221,15,Audi V8 Sedan 1994
261,dataset\cars_train\00262.jpg,158,132,501,293,102,Ferrari 458 Italia Convertible 2012
262,dataset\cars_train\00263.jpg,177,299,730,673,39,Bentley Arnage Sedan 2009
263,dataset\cars_train\00264.jpg,42,72,472,299,68,Chevrolet Silverado 2500HD Regular Cab 2012
264,dataset\cars_train\00265.jpg,15,74,387,195,54,Chevrolet Corvette Convertible 2012
265,dataset\cars_train\00266.jpg,22,300,786,552,16,Audi 100 Sedan 1994
266,dataset\cars_train\00267.jpg,25,133,620,374,45,Bugatti Veyron 16.4 Coupe 2009
267,dataset\cars_train\00268.jpg,49,53,596,398,73,Chevrolet Silverado 1500 Extended Cab 2012
268,dataset\cars_train\00269.jpg,29,192,605,391,184,Tesla Model S Sedan 2012
269,dataset\cars_train\00270.jpg,15,70,357,186,121,GMC Canyon Extended Cab 2012
270,dataset\cars_train\00271.jpg,11,23,141,80,173,Ram C/V Cargo Van Minivan 2012
271,dataset\cars_train\00272.jpg,8,1,590,327,99,FIAT 500 Convertible 2012
272,dataset\cars_train\00273.jpg,37,65,458,321,68,Chevrolet Silverado 2500HD Regular Cab 2012
273,dataset\cars_train\00274.jpg,31,69,435,310,19,Audi S6 Sedan 2011
274,dataset\cars_train\00275.jpg,165,183,495,358,129,Hyundai Veloster Hatchback 2012
275,dataset\cars_train\00276.jpg,75,93,529,360,131,Hyundai Tucson SUV 2012
276,dataset\cars_train\00277.jpg,72,193,926,613,172,Porsche Panamera Sedan 2012
277,dataset\cars_train\00278.jpg,1,38,251,135,155,Lincoln Town Car Sedan 2011
278,dataset\cars_train\00279.jpg,16,31,553,297,46,Buick Regal GS 2012
279,dataset\cars_train\00280.jpg,3,33,261,176,106,Ford Mustang Convertible 2007
280,dataset\cars_train\00281.jpg,214,240,387,342,150,Lamborghini Aventador Coupe 2012
281,dataset\cars_train\00282.jpg,20,97,460,356,60,Chevrolet Impala Sedan 2007
282,dataset\cars_train\00283.jpg,112,190,664,342,104,Fisker Karma Sedan 2012
283,dataset\cars_train\00284.jpg,49,101,942,619,93,Dodge Durango SUV 2012
284,dataset\cars_train\00285.jpg,7,20,634,298,193,Volvo 240 Sedan 1993
285,dataset\cars_train\00286.jpg,116,143,769,713,194,Volvo XC90 SUV 2007
286,dataset\cars_train\00287.jpg,56,299,1266,721,90,Dodge Dakota Club Cab 2007
287,dataset\cars_train\00288.jpg,60,46,258,138,188,Toyota 4Runner SUV 2012
288,dataset\cars_train\00289.jpg,205,197,741,425,14,Audi R8 Coupe 2012
289,dataset\cars_train\00290.jpg,68,30,620,506,139,Hyundai Azera Sedan 2012
290,dataset\cars_train\00291.jpg,27,147,573,471,141,Infiniti QX56 SUV 2011
291,dataset\cars_train\00292.jpg,133,73,806,251,9,Aston Martin Virage Convertible 2012
292,dataset\cars_train\00293.jpg,24,27,936,380,103,Ferrari 458 Italia Coupe 2012
293,dataset\cars_train\00294.jpg,11,141,629,386,47,Buick Rainier SUV 2007
294,dataset\cars_train\00295.jpg,150,114,524,433,49,Buick Enclave SUV 2012
295,dataset\cars_train\00296.jpg,18,115,618,456,119,GMC Yukon Hybrid SUV 2012
296,dataset\cars_train\00297.jpg,56,157,639,455,86,Dodge Ram Pickup 3500 Quad Cab 2009
297,dataset\cars_train\00298.jpg,49,67,362,245,176,Rolls-Royce Phantom Sedan 2012
298,dataset\cars_train\00299.jpg,24,66,982,711,146,Jeep Liberty SUV 2012
299,dataset\cars_train\00300.jpg,41,103,994,692,168,Nissan NV Passenger Van 2012
300,dataset\cars_train\00301.jpg,52,36,247,189,120,GMC Acadia SUV 2012
301,dataset\cars_train\00302.jpg,1,37,296,171,18,Audi TT Hatchback 2011
302,dataset\cars_train\00303.jpg,6,47,297,193,30,BMW 6 Series Convertible 2007
303,dataset\cars_train\00304.jpg,14,29,235,168,155,Lincoln Town Car Sedan 2011
304,dataset\cars_train\00305.jpg,37,21,169,122,142,Isuzu Ascender SUV 2008
305,dataset\cars_train\00306.jpg,37,125,582,456,82,Dodge Caliber Wagon 2012
306,dataset\cars_train\00307.jpg,171,63,1187,894,57,Chevrolet Traverse SUV 2012
307,dataset\cars_train\00308.jpg,16,136,775,418,5,Acura Integra Type R 2001
